Relationship Name,From Table,From Column,To Table,To Column,Is Active,Type,Cross Filtering
8052d01a-7977-69b0-52df-19b4b535c526,fctSalesOrderLineExt,FK SalespersonID,dimSalesPerson,PK salespersonID,FALSE,1,1
858a2c19-3cfb-f2fa-c737-e4391d34f5d9,fctSalesOrderLineExt,FKSegment7ID,dimSegment 7,PK Segment 7 (CD),TRUE,1,1
864fe8d2-1a6e-25d9-c76c-41e119ffbb5c,fctCustomerInvoiceLineExt,FK Salesperson (CD),dimSalesPerson,PK salespersonID,FALSE,1,1
8cbaacb7-9d9c-c03d-58fe-e8877cf9db42,dimAddress,FK Country,dimCountry,PK Country,TRUE,1,1
8ee659f4-dd6b-5676-afc8-ac182a11d600,SalesPersonCustomerInvoice,FK SalespersonID,dimSalesPerson,PK salespersonID,TRUE,1,1
8f09ac68-c004-444f-94ec-53e3fd0089cc,fctSupplierInvoiceLineExt,FKSegment9ID,dimSegment 9,PK Segment 9 (CD),TRUE,1,1
93bee6c6-e1ca-238f-8285-d4861d9b4623,dimCustomer,Custom Priceclass,dimPriceClass,PG_FK,TRUE,1,2
a2ef987f-6777-1d62-d24c-208501763ea6,dimCustomerInvoice,DocumentDueDate,dimDate,Date,FALSE,1,1
a5279b88-99b7-72f8-d392-d5c15d11ec0b,fctSalesOrderLineExt,FKSegment2ID,dimSegment 2,PK Segment 2 (CD),TRUE,1,1
a918b1e3-0a11-4ac4-8ec2-1c1a33b02c8d,fctCustomerInvoiceLineExt,FKSegment6ID,dimSegment 6,PK Segment 6 (CD),TRUE,1,1
ab265ab6-f261-449c-a707-6208cc92d5a0,fctSupplierInvoiceLineExt,FKSegment8ID,dimSegment 8,PK Segment 8 (CD),TRUE,1,1
ab8c1289-ca24-4780-b4ba-3e6c3a1009ca,fctSupplierInvoiceLineExt,FKSegment5ID,dimSegment 5,PK Segment 5 (CD),TRUE,1,1
af94244f-bd9d-4f12-b252-2f0b80f6b60f,fctCustomerInvoiceLineExt,FKSegment4ID,dimSegment 4,PK Segment 4 (CD),TRUE,1,1
b22f7838-6c03-491c-ed5b-aa48c75bab81,fctSalesOrderLineExt,FK SalesOrder,dimSalesOrder,PK SalesOrder,TRUE,1,1
b99f0022-c285-0cf0-bc8a-44f31566d154,dimCustomerInvoice,FK Salesperson (ID),SalesPersonCustomerInvoice,PK SalespersonID_CustomerInvoice,FALSE,1,1
bd845d80-54ec-afa7-e302-78b2976c6a1f,dimSalesOrder,FK CustomerNumber,dimCustomer,PK Customer (CD),TRUE,1,1
bdf9cce1-8bb6-6700-6284-926682ed9760,fctPurchaseOrderLineExt,Promised,dimDate,Date,FALSE,1,1
c0dd56d4-cb0f-6f82-fd83-28eb3c4dc1a9,dimWarehouseDetail,FK InventoryNumber,dimInventory,PK InventoryNumber,TRUE,1,1
c139f855-ab89-9c3c-522c-0f4b13d83128,dimCustomerCreditNote,DocumentDate,dimDate,Date,TRUE,1,1
ca075245-f86f-c04c-d132-f2dc54a241b1,fctShipmentOrderLines,FK OrderNumber,dimSalesOrder,PK SalesOrder,TRUE,1,1
d0f4cfe7-a39d-1dd4-bb11-777679f26c90,fctSalesOrderLineExt,FKSegment1ID,dimSegment 1,PK Segment 1 (CD),TRUE,1,1
d1cad190-f84a-2aea-72e6-73cdeb875a40,dimSegments,FK BranchID,dimBranch,PK Branch (ID),TRUE,1,1
d467c903-92b1-19c0-a58c-f793af340010,dimPurchaseOrder,promisedOn,dimDate,Date,FALSE,1,1
d52316d3-3de3-4ecc-8e90-3082af798f78,fctSupplierInvoiceLineExt,FKSegment3ID,dimSegment 3,PK Segment 3 (CD),TRUE,1,1
